ANALYSIS_TYPE,GAP_BUCKET,PREV_RANGE_BUCKET,OPEN_LOCATION,N225_DIMENSION,N225_VALUE,BASE_SAMPLE,CONDITIONAL_SAMPLE,BASE_AVG_MAX_UP_PCT,N225_AVG_MAX_UP_PCT,DELTA_MAX_UP_PCT,BASE_AVG_MAX_DOWN_PCT,N225_AVG_MAX_DOWN_PCT,DELTA_MAX_DOWN_PCT,BASE_AVG_CLOSE_PCT,N225_AVG_CLOSE_PCT,DELTA_CLOSE_PCT
CONDITIONAL,-1~0%,>=10,BELOW_PREV_LOW,RETURN_5M,-0.2~-0.05%,29747,7283,1.1248200296753124,1.103082733103071,-1.9325132909053868,-0.9686664307174855,-1.0521947323817964,-8.623020166234314,0.05803214827641764,0.014024346234699371,-75.83348772839001
CONDITIONAL,-1~0%,>=10,BELOW_PREV_LOW,RETURN_10M,-0.2~0%,29747,7337,1.1248200296753124,1.064800005394722,-5.335966883334716,-0.9686664307174855,-1.0025525016214927,-3.498218770615183,0.05803214827641764,0.05519139418505649,-4.895138601159692
CONDITIONAL,-1~0%,>=10,BELOW_PREV_LOW,RANGE_10M,0.2~0.5%,29747,23544,1.1248200296753124,1.1148596776408155,-0.8855062829359452,-0.9686664307174855,-0.9647055006100941,0.4089054788920026,0.05803214827641764,0.061077191682270354,5.247166434970877
CONDITIONAL,-1~0%,>=10,BELOW_PREV_LOW,NIGHT_RETURN,0.5~1%,29747,2720,1.1248200296753124,1.090649057950996,-3.0379056936050546,-0.9686664307174855,-0.9322638060587614,3.7580144727180147,0.05803214827641764,0.051262358010179566,-11.665586174739445
CONDITIONAL,-1~0%,>=10,BELOW_PREV_LOW,DIRECTION,UP_MIXED,29747,7883,1.1248200296753124,1.1009745648198335,-2.11993600988436,-0.9686664307174855,-0.9811502430585707,-1.2887627717044465,0.05803214827641764,-0.015798697607949528,-127.22404404658167
CONDITIONAL,-1~0%,>=10,BELOW_PREV_LOW,PERSISTENCE,MIXED,29747,17193,1.1248200296753124,1.124153003860239,-0.05930067010505915,-0.9686664307174855,-0.9760169618478207,-0.7588299642933575,0.05803214827641764,0.06604111592926369,13.800915338680708
CONDITIONAL,-1~0%,>=10,BELOW_PREV_LOW,RETURN_5M,-0.05~0.05%,29747,7032,1.1248200296753124,1.0324356524175102,-8.213258549856155,-0.9686664307174855,-1.064899334950798,-9.934576153530312,0.05803214827641764,-0.09081790808173254,-256.4958575187505
CONDITIONAL,-1~0%,>=10,BELOW_PREV_LOW,NIGHT_RETURN,-1~-0.5%,29747,4403,1.1248200296753124,1.1162468802776222,-0.7621796528787689,-0.9686664307174855,-0.9342769004285597,3.5501932552213717,0.05803214827641764,0.04362153560384569,-24.832119955186887
CONDITIONAL,-1~0%,>=10,BELOW_PREV_LOW,RETURN_5M,0.05~0.2%,29747,8284,1.1248200296753124,1.2063673393983125,7.249809531444725,-0.9686664307174855,-0.8175413030794153,15.601359027806167,0.05803214827641764,0.18539080226594284,219.46224251925477
CONDITIONAL,-1~0%,>=10,BELOW_PREV_LOW,RETURN_10M,0~0.2%,29747,8570,1.1248200296753124,1.1394845313339712,1.3037198193289519,-0.9686664307174855,-0.9140309495470588,5.640278163656248,0.05803214827641764,0.051190874627253254,-11.788765110983238
